SERVICE_TYPE,AGE_GROUP,MEMBER_SEX,YEAR,APPROVED_AMT,Chronic_Condition,Number_of_Visits
ED,Adult,F,2013,4636688.32,BrainInjury,42
ED,Adult,F,2014,5129488.47,BrainInjury,183
ED,Adult,F,2015,6030988.24,BrainInjury,224
ED,Adult,F,2016,6668044.23,BrainInjury,477
ED,Adult,F,2017,6104549.94,BrainInjury,603
ED,Adult,F,2018,4965974.66,BrainInjury,519
ED,Adult,M,2013,1383879.7,BrainInjury,81
ED,Adult,M,2014,1493040.18,BrainInjury,120
ED,Adult,M,2015,1691215.83,BrainInjury,118
ED,Adult,M,2016,1892196.98,BrainInjury,236
ED,Adult,M,2017,1663291.68,BrainInjury,288
ED,Adult,M,2018,1142494.86,BrainInjury,191
ED,Baby,F,2013,1506181.32,BrainInjury,23
ED,Baby,F,2014,1591753.84,BrainInjury,35
ED,Baby,F,2015,2179468.78,BrainInjury,32
ED,Baby,F,2016,2103045.03,BrainInjury,64
ED,Baby,F,2017,2147211.03,BrainInjury,97
ED,Baby,F,2018,2139962.34,BrainInjury,118
ED,Baby,M,2013,1918688.48,BrainInjury,18
ED,Baby,M,2014,1874186.84,BrainInjury,54
ED,Baby,M,2015,2518979.01,BrainInjury,52
ED,Baby,M,2016,2514023.21,BrainInjury,100
ED,Baby,M,2017,2530652.26,BrainInjury,134
ED,Baby,M,2018,2485816.2,BrainInjury,171
ED,Child,F,2013,1901458.24,BrainInjury,22
ED,Child,F,2014,2148463.84,BrainInjury,48
ED,Child,F,2015,2673514.23,BrainInjury,55
ED,Child,F,2016,2908185.71,BrainInjury,263
ED,Child,F,2017,2974904.43,BrainInjury,393
ED,Child,F,2018,2880758.78,BrainInjury,435
ED,Child,M,2013,2433859.16,BrainInjury,20
ED,Child,M,2014,2496700.91,BrainInjury,68
ED,Child,M,2015,3116299.37,BrainInjury,64
ED,Child,M,2016,3251563.11,BrainInjury,430
ED,Child,M,2017,3476490.48,BrainInjury,587
ED,Child,M,2018,3166700.21,BrainInjury,638
ED,Middle Age,F,2013,2595474.77,BrainInjury,46
ED,Middle Age,F,2014,2816801.31,BrainInjury,114
ED,Middle Age,F,2015,3233222.24,BrainInjury,207
ED,Middle Age,F,2016,3601607.53,BrainInjury,543
ED,Middle Age,F,2017,3383271.8,BrainInjury,471
ED,Middle Age,F,2018,1687188.82,BrainInjury,250
ED,Middle Age,M,2013,1515062.05,BrainInjury,33
ED,Middle Age,M,2014,1733896.68,BrainInjury,90
ED,Middle Age,M,2015,1889629.66,BrainInjury,128
ED,Middle Age,M,2016,2130585.12,BrainInjury,360
ED,Middle Age,M,2017,2086166.55,BrainInjury,396
ED,Middle Age,M,2018,1081621.98,BrainInjury,251
ED,PreSchool,F,2013,1041299.14,BrainInjury,8
ED,PreSchool,F,2014,999873.52,BrainInjury,16
ED,PreSchool,F,2015,1327170.08,BrainInjury,29
ED,PreSchool,F,2016,1338599.82,BrainInjury,66
ED,PreSchool,F,2017,1303292.38,BrainInjury,87
ED,PreSchool,F,2018,1315556.77,BrainInjury,122
ED,PreSchool,M,2013,1217668.55,BrainInjury,18
ED,PreSchool,M,2014,1262085.22,BrainInjury,27
ED,PreSchool,M,2015,1565470.56,BrainInjury,39
ED,PreSchool,M,2016,1583737.79,BrainInjury,102
ED,PreSchool,M,2017,1617136.44,BrainInjury,129
ED,PreSchool,M,2018,1577395.32,BrainInjury,148
ED,Senior,F,2013,163132.82,BrainInjury,0
ED,Senior,F,2014,229752.53,BrainInjury,1
ED,Senior,F,2015,236777.23,BrainInjury,8
ED,Senior,F,2016,257888.06,BrainInjury,3
ED,Senior,F,2017,259595.61,BrainInjury,12
ED,Senior,F,2018,152592.77,BrainInjury,10
ED,Senior,M,2013,109377.86,BrainInjury,2
ED,Senior,M,2014,120284.48,BrainInjury,5
ED,Senior,M,2015,120818.5,BrainInjury,9
ED,Senior,M,2016,124722,BrainInjury,4
ED,Senior,M,2017,112139.19,BrainInjury,6
ED,Senior,M,2018,51383.58,BrainInjury,3
ED,Teen,F,2013,2135877.05,BrainInjury,21
ED,Teen,F,2014,2473588.95,BrainInjury,45
ED,Teen,F,2015,3155328.06,BrainInjury,71
ED,Teen,F,2016,3381209.07,BrainInjury,384
ED,Teen,F,2017,3451621.76,BrainInjury,668
ED,Teen,F,2018,3322323.1,BrainInjury,875
ED,Teen,M,2013,1684301.71,BrainInjury,49
ED,Teen,M,2014,1655936.46,BrainInjury,59
ED,Teen,M,2015,2091976.99,BrainInjury,101
ED,Teen,M,2016,2250623.48,BrainInjury,447
ED,Teen,M,2017,2169843.33,BrainInjury,662
ED,Teen,M,2018,2053367.13,BrainInjury,766
ED,Very Senior,F,2013,24011.35,BrainInjury,2
ED,Very Senior,F,2014,5662.22,BrainInjury,0
ED,Very Senior,F,2015,19915.579999999998,BrainInjury,0
ED,Very Senior,F,2016,19223.68,BrainInjury,1
ED,Very Senior,F,2017,23762.88,BrainInjury,2
ED,Very Senior,F,2018,7034.89,BrainInjury,2
ED,Very Senior,M,2013,2711.0099999999998,BrainInjury,0
ED,Very Senior,M,2014,2901.05,BrainInjury,0
ED,Very Senior,M,2015,9589.12,BrainInjury,0
ED,Very Senior,M,2016,10243.94,BrainInjury,1
ED,Very Senior,M,2017,5788.57,BrainInjury,0
ED,Very Senior,M,2018,9770.33,BrainInjury,0
ED,Young Adult,F,2013,7916135.01,BrainInjury,96
ED,Young Adult,F,2014,8089249.19,BrainInjury,179
ED,Young Adult,F,2015,9525834.45,BrainInjury,137
ED,Young Adult,F,2016,10470118.09,BrainInjury,725
ED,Young Adult,F,2017,9768073.43,BrainInjury,1083
ED,Young Adult,F,2018,8986275.33,BrainInjury,921
ED,Young Adult,M,2013,1184534.76,BrainInjury,16
ED,Young Adult,M,2014,1272373.27,BrainInjury,48
ED,Young Adult,M,2015,1542323.39,BrainInjury,66
ED,Young Adult,M,2016,1671619.83,BrainInjury,243
ED,Young Adult,M,2017,1659066.17,BrainInjury,322
ED,Young Adult,M,2018,1007085.63,BrainInjury,173
INPT,Adult,F,2013,16461803.94,BrainInjury,21
INPT,Adult,F,2014,19469987.83,BrainInjury,51
INPT,Adult,F,2015,22259995.69,BrainInjury,44
INPT,Adult,F,2016,21954881.71,BrainInjury,81
INPT,Adult,F,2017,19512022.03,BrainInjury,95
INPT,Adult,F,2018,14907468.05,BrainInjury,63
INPT,Adult,M,2013,7736072.53,BrainInjury,26
INPT,Adult,M,2014,7699572.2,BrainInjury,35
INPT,Adult,M,2015,8757291.6,BrainInjury,31
INPT,Adult,M,2016,10626546.31,BrainInjury,72
INPT,Adult,M,2017,10896721.57,BrainInjury,85
INPT,Adult,M,2018,5015019.67,BrainInjury,39
INPT,Baby,F,2013,16555105.89,BrainInjury,11
INPT,Baby,F,2014,15875869.49,BrainInjury,11
INPT,Baby,F,2015,18129983.05,BrainInjury,18
INPT,Baby,F,2016,18440029.34,BrainInjury,27
INPT,Baby,F,2017,14346605.08,BrainInjury,26
INPT,Baby,F,2018,19612069.49,BrainInjury,15
INPT,Baby,M,2013,15109820.12,BrainInjury,12
INPT,Baby,M,2014,16229599.55,BrainInjury,32
INPT,Baby,M,2015,21306934.89,BrainInjury,18
INPT,Baby,M,2016,18592003.33,BrainInjury,34
INPT,Baby,M,2017,22600360.39,BrainInjury,32
INPT,Baby,M,2018,18659995.79,BrainInjury,29
INPT,Child,F,2013,2777585.94,BrainInjury,10
INPT,Child,F,2014,3430252.3,BrainInjury,15
INPT,Child,F,2015,4701342.93,BrainInjury,10
INPT,Child,F,2016,5405092.01,BrainInjury,11
INPT,Child,F,2017,5350544.77,BrainInjury,23
INPT,Child,F,2018,4547234.91,BrainInjury,29
INPT,Child,M,2013,4530032.13,BrainInjury,8
INPT,Child,M,2014,4853282.26,BrainInjury,16
INPT,Child,M,2015,5445926.74,BrainInjury,27
INPT,Child,M,2016,5558426.33,BrainInjury,34
INPT,Child,M,2017,6662601.41,BrainInjury,25
INPT,Child,M,2018,7182341.58,BrainInjury,35
INPT,Middle Age,F,2013,21876665.29,BrainInjury,46
INPT,Middle Age,F,2014,22979314.55,BrainInjury,59
INPT,Middle Age,F,2015,25740765.65,BrainInjury,112
INPT,Middle Age,F,2016,26454508.75,BrainInjury,105
INPT,Middle Age,F,2017,25885326.8,BrainInjury,132
INPT,Middle Age,F,2018,13704996.52,BrainInjury,60
INPT,Middle Age,M,2013,16136945.33,BrainInjury,25
INPT,Middle Age,M,2014,19394542.27,BrainInjury,53
INPT,Middle Age,M,2015,20911904.33,BrainInjury,93
INPT,Middle Age,M,2016,21338834.16,BrainInjury,115
INPT,Middle Age,M,2017,22530203.92,BrainInjury,134
INPT,Middle Age,M,2018,11180697.51,BrainInjury,98
INPT,PreSchool,F,2013,2471195.27,BrainInjury,4
INPT,PreSchool,F,2014,1108688.08,BrainInjury,4
INPT,PreSchool,F,2015,1941255.72,BrainInjury,1
INPT,PreSchool,F,2016,2076944.23,BrainInjury,3
INPT,PreSchool,F,2017,1149509.95,BrainInjury,10
INPT,PreSchool,F,2018,1379026.57,BrainInjury,4
INPT,PreSchool,M,2013,1740063.69,BrainInjury,7
INPT,PreSchool,M,2014,2008181.51,BrainInjury,18
INPT,PreSchool,M,2015,1677937.63,BrainInjury,10
INPT,PreSchool,M,2016,2469335.25,BrainInjury,22
INPT,PreSchool,M,2017,3100235.48,BrainInjury,11
INPT,PreSchool,M,2018,1966010.68,BrainInjury,13
INPT,Senior,F,2013,1888657.81,BrainInjury,1
INPT,Senior,F,2014,1756026.83,BrainInjury,0
INPT,Senior,F,2015,2790276.52,BrainInjury,2
INPT,Senior,F,2016,3168620.09,BrainInjury,1
INPT,Senior,F,2017,3657024.14,BrainInjury,4
INPT,Senior,F,2018,1154725.79,BrainInjury,2
INPT,Senior,M,2013,1533682.95,BrainInjury,3
INPT,Senior,M,2014,1029932.29,BrainInjury,2
INPT,Senior,M,2015,1511443.64,BrainInjury,5
INPT,Senior,M,2016,1646031.11,BrainInjury,3
