"","ED_DISCHARGE_DX_DESC","CODE_1","CODE_P","ED_NOT_NEEDED_PROP","PREVENTABILITY","n"
"122","","E11.3599","E11",NA,NA,17
"123","","E11.37X1","E11",NA,NA,2
"124","","E11.37X9","E11",NA,NA,1
"125","","E13.3292","E13",NA,NA,1
"126","","E13.3299","E13",NA,NA,1
"127","","E13.3513","E13",NA,NA,2
"128","","E13.3519","E13",NA,NA,1
"129","","E13.3531","E13",NA,NA,1
"130","","E78.00","E78",NA,NA,1613
"131","","E78.01","E78",NA,NA,85
"132","","E89.820","E89",NA,NA,1
"133","","E89.821","E89",NA,NA,1
"134","","F10.11","F10",NA,NA,16
"135","","F11.11","F11",NA,NA,86
"136","","F12.11","F12",NA,NA,33
"137","","F13.11","F13",NA,NA,3
"138","","F14.11","F14",NA,NA,6
"139","","F15.11","F15",NA,NA,27
"140","","F32.81","F32",NA,NA,60
"141","","F32.89","F32",NA,NA,2709
"142","","F34.81","F34",NA,NA,8307
"143","","F34.89","F34",NA,NA,460
"144","","F42.2","F42",NA,NA,430
"145","","F42.3","F42",NA,NA,3
"146","","F42.4","F42",NA,NA,42
"147","","F42.8","F42",NA,NA,225
"148","","F42.9","F42",NA,NA,556
"149","","F50.81","F50",NA,NA,59
"150","","F50.82","F50",NA,NA,32
"151","","F50.89","F50",NA,NA,186
"152","","F64.0","F64",NA,NA,195
"153","","F80.82","F80",NA,NA,279
"154","","F90.","F90",NA,NA,1
"155","","G56.03","G56",NA,NA,928
"156","","G56.13","G56",NA,NA,9
"157","","G56.23","G56",NA,NA,35
"158","","G56.33","G56",NA,NA,2
"159","","G56.43","G56",NA,NA,2
"160","","G56.83","G56",NA,NA,4
"161","","G56.93","G56",NA,NA,5
"162","","G57.13","G57",NA,NA,7
"163","","G57.33","G57",NA,NA,3
"164","","G57.53","G57",NA,NA,1
"165","","G57.63","G57",NA,NA,2
"166","","G57.83","G57",NA,NA,11
"167","","G57.93","G57",NA,NA,41
"168","","G61.82","G61",NA,NA,3
"169","","G97.61","G97",NA,NA,1
"170","","G97.63","G97",NA,NA,1
"171","","H34.8110","H34",NA,NA,17
"172","","H34.8112","H34",NA,NA,2
"173","","H34.8120","H34",NA,NA,33
"174","","H34.8121","H34",NA,NA,1
"175","","H34.8130","H34",NA,NA,1
"176","","H34.8192","H34",NA,NA,1
"177","","H34.8310","H34",NA,NA,12
"178","","H34.8312","H34",NA,NA,6
"179","","H34.8320","H34",NA,NA,21
"180","","H34.8321","H34",NA,NA,5
"181","","H34.8322","H34",NA,NA,3
"182","","H35.3110","H35",NA,NA,1
"183","","H35.3111","H35",NA,NA,7
"184","","H35.3112","H35",NA,NA,3
"185","","H35.3120","H35",NA,NA,1
"186","","H35.3121","H35",NA,NA,3
"187","","H35.3124","H35",NA,NA,3
"188","","H35.3131","H35",NA,NA,21
"189","","H35.3132","H35",NA,NA,7
"190","","H35.3133","H35",NA,NA,3
"191","","H35.3211","H35",NA,NA,29
"192","","H35.3212","H35",NA,NA,8
"193","","H35.3213","H35",NA,NA,5
"194","","H35.3221","H35",NA,NA,27
"195","","H35.3222","H35",NA,NA,4
"196","","H35.3223","H35",NA,NA,1
"197","","H35.3232","H35",NA,NA,4
"198","","H40.1110","H40",NA,NA,1
"199","","H40.1111","H40",NA,NA,30
"200","","H40.1112","H40",NA,NA,27
"201","","H40.1113","H40",NA,NA,45
"202","","H40.1114","H40",NA,NA,5
"203","","H40.1120","H40",NA,NA,1
"204","","H40.1121","H40",NA,NA,21
"205","","H40.1122","H40",NA,NA,11
"206","","H40.1123","H40",NA,NA,51
"207","","H40.1124","H40",NA,NA,3
"208","","H40.1130","H40",NA,NA,15
"209","","H40.1131","H40",NA,NA,279
"210","","H40.1132","H40",NA,NA,121
"211","","H40.1133","H40",NA,NA,152
"212","","H40.1134","H40",NA,NA,39
"213","","H40.1190","H40",NA,NA,3
"214","","H44.2A1","H44",NA,NA,1
"215","","H53.041","H53",NA,NA,62
"216","","H53.042","H53",NA,NA,62
"217","","H53.043","H53",NA,NA,421
"218","","H53.049","H53",NA,NA,12
"219","","H54.0X33","H54",NA,NA,1
"220","","H54.0X55","H54",NA,NA,1
"221","","H54.2X22","H54",NA,NA,1
"222","","H54.52A2","H54",NA,NA,1
"223","","H90.A11","H90",NA,NA,28
"224","","H90.A12","H90",NA,NA,18
"225","","H90.A21","H90",NA,NA,20
"226","","H90.A22","H90",NA,NA,21
"227","","H90.A31","H90",NA,NA,17
"228","","H90.A32","H90",NA,NA,28
"229","","H93.A1","H93",NA,NA,6
"230","","H93.A2","H93",NA,NA,28
"231","","H93.A3","H93",NA,NA,7
"232","","H93.A9","H93",NA,NA,4
"233","","I16.0","I16",NA,NA,334
"234","","I16.1","I16",NA,NA,140
"235","","I16.9","I16",NA,NA,53
"236","","I21.9","I21",NA,NA,10
"237","","I27.20","I27",NA,NA,124
"238","","I27.21","I27",NA,NA,23
"239","","I27.22","I27",NA,NA,1
"240","","I27.23","I27",NA,NA,7
"241","","I27.29","I27",NA,NA,8
"242","","I50.810","I50",NA,NA,4
"243","","I50.813","I50",NA,NA,14
"244","","I60.2","I60",NA,NA,15
"245","","I63.013","I63",NA,NA,2
"246","","I63.033","I63",NA,NA,3
"247","","I63.113","I63",NA,NA,1
"248","","I63.213","I63",NA,NA,2
"249","","I63.233","I63",NA,NA,2
"250","","I63.313","I63",NA,NA,3
"251","","I63.433","I63",NA,NA,13
"252","","I63.523","I63",NA,NA,3
"253","","I63.543","I63",NA,NA,1
"254","","I69.010","I69",NA,NA,1
"255","","I69.011","I69",NA,NA,2
"256","","I69.015","I69",NA,NA,16
"257","","I69.118","I69",NA,NA,1
"258","","I69.310","I69",NA,NA,36
"259","","I69.311","I69",NA,NA,7
"260","","I69.314","I69",NA,NA,3
"261","","I69.318","I69",NA,NA,6
"262","","I69.319","I69",NA,NA,4
"263","","I69.810","I69",NA,NA,40
"264","","I69.815","I69",NA,NA,3
"265","","I69.818","I69",NA,NA,3
"266","","I69.819","I69",NA,NA,5
"267","","I69.919","I69",NA,NA,8
"268","","I72.5","I72",NA,NA,1
"269","","I77.77","I77",NA,NA,3
"270","","I97.620","I97",NA,NA,4
"271","","I97.630","I97",NA,NA,3
"272","","I97.638","I97",NA,NA,7
"273","","I97.648","I97",NA,NA,4
"274","","J45.90","J45",NA,NA,1
"275","","J95.860","J95",NA,NA,1
"276","","J95.861","J95",NA,NA,1
"277","","J98.51","J98",NA,NA,15
"278","","J98.59","J98",NA,NA,55
"279","","K04.01","K04",NA,NA,100
"280","","K04.02","K04",NA,NA,10
"281","","K05.212","K05",NA,NA,8
"282","","K05.219","K05",NA,NA,71
"283","","K05.229","K05",NA,NA,1
"284","","K05.319","K05",NA,NA,3
"285","","K08.81","K08",NA,NA,5
"286","","K08.89","K08",NA,NA,4364
"287","","K52.21","K52",NA,NA,24
"288","","K52.22","K52",NA,NA,6
"289","","K52.29","K52",NA,NA,48
"290","","K52.3","K52",NA,NA,35
"291","","K52.831","K52",NA,NA,17
"292","","K52.832","K52",NA,NA,19
"293","","K52.838","K52",NA,NA,4
"294","","K52.839","K52",NA,NA,7
"295","","K55.011","K55",NA,NA,1
"296","","K55.012","K55",NA,NA,1
"297","","K55.019","K55",NA,NA,2
"298","","K55.021","K55",NA,NA,2
"299","","K55.029","K55",NA,NA,4
"300","","K55.039","K55",NA,NA,3
"301","","K55.049","K55",NA,NA,3
"302","","K55.059","K55",NA,NA,14
"303","","K55.061","K55",NA,NA,1
"304","","K55.069","K55",NA,NA,21
"305","","K55.30","K55",NA,NA,68
"306","","K55.33","K55",NA,NA,1
"307","","K56.50","K56",NA,NA,7
"308","","K56.51","K56",NA,NA,6
"309","","K56.52","K56",NA,NA,1
"310","","K56.600","K56",NA,NA,44
"311","","K56.601","K56",NA,NA,7
"312","","K56.609","K56",NA,NA,134
"313","","K56.690","K56",NA,NA,25
"314","","K56.691","K56",NA,NA,1
"315","","K56.699","K56",NA,NA,33
"316","","K58.1","K58",NA,NA,243
"317","","K58.2","K58",NA,NA,132
"318","","K58.8","K58",NA,NA,26
"319","","K59.03","K59",NA,NA,165
"320","","K59.04","K59",NA,NA,893
"321","","K59.31","K59",NA,NA,3
"322","","K59.39","K59",NA,NA,40
"323","","K85.00","K85",NA,NA,123
"324","","K85.01","K85",NA,NA,11
"325","","K85.02","K85",NA,NA,2
"326","","K85.10","K85",NA,NA,195
"327","","K85.11","K85",NA,NA,4
"328","","K85.12","K85",NA,NA,2
"329","","K85.20","K85",NA,NA,356
"330","","K85.21","K85",NA,NA,15
"331","","K85.22","K85",NA,NA,3
"332","","K85.30","K85",NA,NA,7
"333","","K85.80","K85",NA,NA,85
"334","","K85.81","K85",NA,NA,2
"335","","K85.90","K85",NA,NA,1469
"336","","K85.91","K85",NA,NA,13
"337","","K85.92","K85",NA,NA,12
"338","","K86.81","K86",NA,NA,18
"339","","K86.89","K86",NA,NA,115
"340","","K90.41","K90",NA,NA,35
"341","","K90.49","K90",NA,NA,462
"342","","K91.30","K91",NA,NA,2
"343","","K91.870","K91",NA,NA,11
"344","","K91.871","K91",NA,NA,5
"345","","K91.872","K91",NA,NA,12
"346","","K91.873","K91",NA,NA,5
"347","","L03.213","L03",NA,NA,623
"348","","L51.","L51",NA,NA,1
"349","","L76.31","L76",NA,NA,1
"350","","L76.32","L76",NA,NA,26
"351","","L76.33","L76",NA,NA,2
"352","","L76.34","L76",NA,NA,39
"353","","L97.225","L97",NA,NA,22
"354","","L97.515","L97",NA,NA,1
"355","","L97.518","L97",NA,NA,1
"356","","L97.525","L97",NA,NA,2
"357","","L97.526","L97",NA,NA,2
"358","","L97.825","L97",NA,NA,1
"359","","L97.928","L97",NA,NA,1
"360","","L98.7","L98",NA,NA,31
"361","","M04.1","M04",NA,NA,56
"362","","M04.8","M04",NA,NA,16
"363","","M21.611","M21",NA,NA,72
"364","","M21.612","M21",NA,NA,69
"365","","M21.619","M21",NA,NA,5
"366","","M21.621","M21",NA,NA,25
"367","","M21.622","M21",NA,NA,26
"368","","M21.629","M21",NA,NA,2
"369","","M25.541","M25",NA,NA,225
"370","","M25.542","M25",NA,NA,125
"371","","M25.549","M25",NA,NA,26
"372","","M26.601","M26",NA,NA,59
"373","","M26.602","M26",NA,NA,41
"374","","M26.603","M26",NA,NA,25
"375","","M26.609","M26",NA,NA,117
"376","","M26.611","M26",NA,NA,1
"377","","M26.612","M26",NA,NA,1
"378","","M26.613","M26",NA,NA,6
"379","","M26.621","M26",NA,NA,76
"380","","M26.622","M26",NA,NA,85
"381","","M26.623","M26",NA,NA,61
"382","","M26.629","M26",NA,NA,104
"383","","M26.631","M26",NA,NA,2
"384","","M26.633","M26",NA,NA,14
"385","","M26.639","M26",NA,NA,1
"386","","M33.13","M33",NA,NA,1
"387","","M48.061","M48",NA,NA,275
"388","","M48.062","M48",NA,NA,99
"389","","M50.020","M50",NA,NA,5
"390","","M50.021","M50",NA,NA,15
"391","","M50.022","M50",NA,NA,25
"392","","M50.023","M50",NA,NA,7
"393","","M50.120","M50",NA,NA,22
"394","","M50.121","M50",NA,NA,37
"395","","M50.122","M50",NA,NA,80
"396","","M50.123","M50",NA,NA,56
"397","","M50.220","M50",NA,NA,10
"398","","M50.221","M50",NA,NA,75
"399","","M50.222","M50",NA,NA,102
"400","","M50.223","M50",NA,NA,55
"401","","M50.320","M50",NA,NA,47
"402","","M50.321","M50",NA,NA,89
"403","","M50.322","M50",NA,NA,173
"404","","M50.323","M50",NA,NA,88
"405","","M50.820","M50",NA,NA,14
"406","","M50.821","M50",NA,NA,2
"407","","M50.822","M50",NA,NA,2
"408","","M50.823","M50",NA,NA,16
"409","","M50.920","M50",NA,NA,1
"410","","M50.921","M50",NA,NA,1
"411","","M50.923","M50",NA,NA,4
"412","","M84.750S","M84",NA,NA,1
"413","","M96.840","M96",NA,NA,6
"414","","M96.841","M96",NA,NA,2
"415","","M96.842","M96",NA,NA,8
"416","","M96.843","M96",NA,NA,2
"417","","M97.01XA","M97",NA,NA,18
"418","","M97.01XD","M97",NA,NA,6
"419","","M97.02XA","M97",NA,NA,4
"420","","M97.11XA","M97",NA,NA,1
"421","","M97.11XD","M97",NA,NA,5
"422","","M97.12XD","M97",NA,NA,6
"423","","M97.22XA","M97",NA,NA,1
"424","","M97.22XD","M97",NA,NA,1
"425","","M97.32XA","M97",NA,NA,3
"426","","M97.8XXD","M97",NA,NA,5
"427","","M97.9XXA","M97",NA,NA,1
"428","","N13.0","N13",NA,NA,36
"429","","N39.491","N39",NA,NA,1
"430","","N42.31","N42",NA,NA,1
"431","","N50.811","N50",NA,NA,260
"432","","N50.812","N50",NA,NA,276
"433","","N50.819","N50",NA,NA,267
"434","","N50.82","N50",NA,NA,201
"435","","N50.89","N50",NA,NA,291
"436","","N61.0","N61",NA,NA,474
"437","","N61.1","N61",NA,NA,795
"438","","N63.0","N63",NA,NA,209
"439","","N63.10","N63",NA,NA,246
"440","","N63.11","N63",NA,NA,81
"441","","N63.12","N63",NA,NA,32
"442","","N63.13","N63",NA,NA,19
"443","","N63.14","N63",NA,NA,18
"444","","N63.20","N63",NA,NA,224
"445","","N63.21","N63",NA,NA,55
"446","","N63.22","N63",NA,NA,19
"447","","N63.23","N63",NA,NA,33
"448","","N63.24","N63",NA,NA,22
"449","","N63.31","N63",NA,NA,6
"450","","N63.32","N63",NA,NA,6
"451","","N63.41","N63",NA,NA,14
"452","","N63.42","N63",NA,NA,15
"453","","N83.00","N83",NA,NA,24
"454","","N83.01","N83",NA,NA,98
"455","","N83.02","N83",NA,NA,99
"456","","N83.10","N83",NA,NA,10
"457","","N83.11","N83",NA,NA,43
"458","","N83.12","N83",NA,NA,37
"459","","N83.201","N83",NA,NA,1470
"460","","N83.202","N83",NA,NA,1115
"461","","N83.209","N83",NA,NA,527
"462","","N83.291","N83",NA,NA,313
"463","","N83.292","N83",NA,NA,213
"464","","N83.299","N83",NA,NA,66
"465","","N83.319","N83",NA,NA,1
"466","","N83.40","N83",NA,NA,1
"467","","N83.511","N83",NA,NA,16
"468","","N83.512","N83",NA,NA,9
"469","","N83.519","N83",NA,NA,13
"470","","N90.60","N90",NA,NA,26
"471","","N90.61","N90",NA,NA,1
"472","","N90.69","N90",NA,NA,3
"473","","N93.1","N93",NA,NA,17
"474","","N94.10","N94",NA,NA,289
"475","","N94.11","N94",NA,NA,5
"476","","N94.12","N94",NA,NA,19
"477","","N94.19","N94",NA,NA,20
"478","","N99.115","N99",NA,NA,2
"479","","N99.524","N99",NA,NA,2
"480","","N99.534","N99",NA,NA,1
"481","","N99.840","N99",NA,NA,27
"482","","N99.841","N99",NA,NA,3
"483","","N99.842","N99",NA,NA,8
"484","","O00.00","O00",NA,NA,4
"485","","O00.01","O00",NA,NA,14
"486","","O00.10","O00",NA,NA,118
"487","","O00.101","O00",NA,NA,37
"488","","O00.102","O00",NA,NA,41
"489","","O00.109","O00",NA,NA,17
"490","","O00.11","O00",NA,NA,1
"491","","O00.119","O00",NA,NA,2
"492","","O00.20","O00",NA,NA,7
"493","","O00.201","O00",NA,NA,8
"494","","O00.202","O00",NA,NA,1
"495","","O00.80","O00",NA,NA,25
"496","","O00.81","O00",NA,NA,5
"497","","O00.90","O00",NA,NA,218
"498","","O00.91","O00",NA,NA,9
"499","","O09.A0","O09",NA,NA,3
"500","","O09.A1","O09",NA,NA,3
"501","","O11.4","O11",NA,NA,114
"502","","O11.5","O11",NA,NA,32
"503","","O12.04","O12",NA,NA,2
"504","","O12.05","O12",NA,NA,14
"505","","O12.14","O12",NA,NA,5
"506","","O12.24","O12",NA,NA,1
"507","","O12.25","O12",NA,NA,1
"508","","O13.4","O13",NA,NA,455
"509","","O13.5","O13",NA,NA,87
"510","","O14.04","O14",NA,NA,72
"511","","O14.05","O14",NA,NA,28
"512","","O14.14","O14",NA,NA,201
"513","","O14.15","O14",NA,NA,67
"514","","O14.24","O14",NA,NA,8
"515","","O14.25","O14",NA,NA,3
"516","","O14.94","O14",NA,NA,159
"517","","O14.95","O14",NA,NA,138
"518","","O16.4","O16",NA,NA,53
"519","","O16.5","O16",NA,NA,134
"520","","O24.415","O24",NA,NA,444
"521","","O24.425","O24",NA,NA,49
"522","","O24.435","O24",NA,NA,7
"523","","O33.7XX0","O33",NA,NA,2
"524","","O34.211","O34",NA,NA,2963
"525","","O34.212","O34",NA,NA,47
"526","","O34.219","O34",NA,NA,2044
"527","","O36.8310","O36",NA,NA,4
"528","","O36.8312","O36",NA,NA,1
"529","","O36.8320","O36",NA,NA,6
"530","","O36.8330","O36",NA,NA,39
"531","","O36.8331","O36",NA,NA,2
"532","","O36.8390","O36",NA,NA,18
"533","","O36.8391","O36",NA,NA,4
"534","","O36.8393","O36",NA,NA,5
"535","","O44.20","O44",NA,NA,14
"536","","O44.21","O44",NA,NA,2
"537","","O44.22","O44",NA,NA,20
"538","","O44.23","O44",NA,NA,11
"539","","O44.30","O44",NA,NA,1
"540","","O44.31","O44",NA,NA,1
"541","","O44.32","O44",NA,NA,4
"542","","O44.33","O44",NA,NA,11
"543","","O44.40","O44",NA,NA,49
"544","","O44.41","O44",NA,NA,2
"545","","O44.42","O44",NA,NA,54
"546","","O44.43","O44",NA,NA,71
"547","","O44.50","O44",NA,NA,1
"548","","O44.51","O44",NA,NA,1
"549","","O44.52","O44",NA,NA,9
"550","","O44.53","O44",NA,NA,12
"551","","O70.20","O70",NA,NA,37
"552","","O70.21","O70",NA,NA,2
"553","","O70.23","O70",NA,NA,4
"554","","O99.33","O99",NA,NA,1
"555","","P05.09","P05",NA,NA,5
"556","","P05.19","P05",NA,NA,3
"557","","P29.30","P29",NA,NA,29
"558","","P70.","P70",NA,NA,1
"559","","P83.81","P83",NA,NA,81
"560","","P83.88","P83",NA,NA,24
"561","","P91.819","P91",NA,NA,4
"562","","P91.88","P91",NA,NA,3
"563","","Q25.21","Q25",NA,NA,141
"564","","Q25.29","Q25",NA,NA,1
"565","","Q25.40","Q25",NA,NA,17
"566","","Q25.42","Q25",NA,NA,16
"567","","Q25.43","Q25",NA,NA,1
"568","","Q25.45","Q25",NA,NA,19
"569","","Q25.46","Q25",NA,NA,1
"570","","Q25.47","Q25",NA,NA,6
"571","","Q25.48","Q25",NA,NA,1
"572","","Q25.49","Q25",NA,NA,7
"573","","Q52.129","Q52",NA,NA,1
"574","","Q53.111","Q53",NA,NA,20
"575","","Q53.112","Q53",NA,NA,55
"576","","Q53.13","Q53",NA,NA,5
"577","","Q53.211","Q53",NA,NA,6
"578","","Q53.212","Q53",NA,NA,9
"579","","Q53.23","Q53",NA,NA,1
"580","","Q66.21","Q66",NA,NA,23
"581","","Q66.22","Q66",NA,NA,82
"582","","Q82.6","Q82",NA,NA,164
"583","","R06.03","R06",NA,NA,252
"584","","R31.21","R31",NA,NA,142
"585","","R31.29","R31",NA,NA,557
"586","","R39.198","R39",NA,NA,176
"587","","R39.82","R39",NA,NA,3
"588","","R39.83","R39",NA,NA,3
"589","","R39.84","R39",NA,NA,1
"590","","R40.2411","R40",NA,NA,46
"591","","R40.2412","R40",NA,NA,1
"592","","R40.2413","R40",NA,NA,1
"593","","R40.2420","R40",NA,NA,2
"594","","R40.2421","R40",NA,NA,42
"595","","R40.2424","R40",NA,NA,1
"596","","R40.2430","R40",NA,NA,1
"597","","R40.2431","R40",NA,NA,48
"598","","R40.2441","R40",NA,NA,22
"599","","R73.03","R73",NA,NA,1205
"600","","R82.71","R82",NA,NA,97
"601","","R82.79","R82",NA,NA,43
"602","","R93.41","R93",NA,NA,49
"603","","R93.421","R93",NA,NA,30
"604","","R93.422","R93",NA,NA,20
"605","","R93.429","R93",NA,NA,14
"606","","R93.49","R93",NA,NA,15
"607","","R97.20","R97",NA,NA,221
"608","","S02.101A","S02",NA,NA,2
"609","","S02.101G","S02",NA,NA,1
"610","","S02.102A","S02",NA,NA,2
"611","","S02.102B","S02",NA,NA,1
"612","","S02.109A","S02",NA,NA,14
"613","","S02.109B","S02",NA,NA,1
"614","","S02.109D","S02",NA,NA,1
"615","","S02.11BA","S02",NA,NA,1
"616","","S02.11FA","S02",NA,NA,1
"617","","S02.11GA","S02",NA,NA,3
"618","","S02.11HA","S02",NA,NA,4
"619","","S02.11HD","S02",NA,NA,1
"620","","S02.30XA","S02",NA,NA,24
"621","","S02.30XD","S02",NA,NA,5
"622","","S02.30XG","S02",NA,NA,3
"623","","S02.31XA","S02",NA,NA,37
"624","","S02.31XD","S02",NA,NA,4
"625","","S02.32XA","S02",NA,NA,92
"626","","S02.32XB","S02",NA,NA,3
"627","","S02.32XD","S02",NA,NA,6
"628","","S02.40CA","S02",NA,NA,18
"629","","S02.40CD","S02",NA,NA,1
"630","","S02.40DA","S02",NA,NA,26
"631","","S02.40DB","S02",NA,NA,2
"632","","S02.40DD","S02",NA,NA,1
"633","","S02.40DS","S02",NA,NA,1
"634","","S02.40EA","S02",NA,NA,22
"635","","S02.40FA","S02",NA,NA,5
"636","","S02.601A","S02",NA,NA,18
"637","","S02.601B","S02",NA,NA,2
"638","","S02.601D","S02",NA,NA,1
"639","","S02.602A","S02",NA,NA,19
"640","","S02.602B","S02",NA,NA,4
"641","","S02.602D","S02",NA,NA,4
"642","","S02.610A","S02",NA,NA,3
"643","","S02.610S","S02",NA,NA,1
"644","","S02.611A","S02",NA,NA,15
"645","","S02.611D","S02",NA,NA,1
"646","","S02.612A","S02",NA,NA,4
"647","","S02.621A","S02",NA,NA,1
"648","","S02.621D","S02",NA,NA,1
"649","","S02.622A","S02",NA,NA,1
"650","","S02.640A","S02",NA,NA,1
"651","","S02.640D","S02",NA,NA,1
"652","","S02.641A","S02",NA,NA,9
"653","","S02.641B","S02",NA,NA,1
"654","","S02.641D","S02",NA,NA,1
"655","","S02.642A","S02",NA,NA,12
"656","","S02.642B","S02",NA,NA,2
"657","","S02.642D","S02",NA,NA,1
"658","","S02.650A","S02",NA,NA,1
"659","","S02.651A","S02",NA,NA,9
"660","","S02.651B","S02",NA,NA,3
"661","","S02.652A","S02",NA,NA,14
"662","","S02.670A","S02",NA,NA,1
"663","","S02.670D","S02",NA,NA,4
"664","","S02.80XA","S02",NA,NA,29
"665","","S02.80XB","S02",NA,NA,1
"666","","S02.80XD","S02",NA,NA,5
"667","","S02.80XG","S02",NA,NA,2
"668","","S02.81XA","S02",NA,NA,24
"669","","S02.81XD","S02",NA,NA,9
"670","","S02.81XS","S02",NA,NA,1
"671","","S02.82XA","S02",NA,NA,27
"672","","S02.82XB","S02",NA,NA,1
"673","","S02.82XD","S02",NA,NA,5
"674","","S03.00XA","S03",NA,NA,28
"675","","S03.00XD","S03",NA,NA,5
"676","","S03.00XS","S03",NA,NA,2
"677","","S03.01XA","S03",NA,NA,10
"678","","S03.02XA","S03",NA,NA,8
"679","","S03.03XA","S03",NA,NA,21
